,location_x,latitude_x,longitude_x,location_y,latitude_y,longitude_y,distance
191,"Los Angeles, CA, USA",34.0522342,-118.2436849,"Oklahoma City, OK, USA",35.4675602,-97.5164276,1896.52
192,"Los Angeles, CA, USA",34.0522342,-118.2436849,"Memphis, TN, USA",35.1495343,-90.0489801,2574.86
193,"Los Angeles, CA, USA",34.0522342,-118.2436849,"Richmond, VA, USA",37.5407246,-77.4360481,3672.06
194,"Los Angeles, CA, USA",34.0522342,-118.2436849,"Louisville, KY, USA",38.2526647,-85.7584557,2938.44
195,"Los Angeles, CA, USA",34.0522342,-118.2436849,"Salt Lake City, UT, USA",40.7607793,-111.8910474,932.84
196,"Los Angeles, CA, USA",34.0522342,-118.2436849,"New Orleans, LA, USA",29.95106579999999,-90.0715323,2686.65
197,"Los Angeles, CA, USA",34.0522342,-118.2436849,"Hartford, CT, USA",41.7658043,-72.6733723,4040.13
198,"Los Angeles, CA, USA",34.0522342,-118.2436849,"Buffalo, NY, USA",42.88644679999999,-78.8783689,3529.81
199,"Los Angeles, CA, USA",34.0522342,-118.2436849,"Birmingham, AL, USA",33.5185892,-86.8103567,2894.07
200,"Chicago, IL, USA",41.8781136,-87.6297982,"Portland, OR, USA",45.515232,-122.6783853,2823.72
201,"Chicago, IL, USA",41.8781136,-87.6297982,"Seattle, WA, USA",47.6062095,-122.3320708,2788.85
202,"Chicago, IL, USA",41.8781136,-87.6297982,"New York, NY, USA",40.7127753,-74.0059728,1144.29
203,"Chicago, IL, USA",41.8781136,-87.6297982,"Los Angeles, CA, USA",34.0522342,-118.2436849,2803.97
204,"Chicago, IL, USA",41.8781136,-87.6297982,"Chicago, IL, USA",41.8781136,-87.6297982,10.0
205,"Chicago, IL, USA",41.8781136,-87.6297982,"Dallas, TX, USA",32.7766642,-96.7969879,1294.96
206,"Chicago, IL, USA",41.8781136,-87.6297982,"Houston, TX, USA",29.7604267,-95.3698028,1515.8
207,"Chicago, IL, USA",41.8781136,-87.6297982,"Washington, DC, USA",38.9071923,-77.0368707,955.19
208,"Chicago, IL, USA",41.8781136,-87.6297982,"Philadelphia, PA, USA",39.9525839,-75.1652215,1068.0
209,"Chicago, IL, USA",41.8781136,-87.6297982,"Atlanta, GA, USA",33.748752,-84.38768449999999,947.54
210,"Chicago, IL, USA",41.8781136,-87.6297982,"Miami, FL, USA",25.7616798,-80.1917902,1917.31
211,"Chicago, IL, USA",41.8781136,-87.6297982,"Phoenix, AZ, USA",33.4483771,-112.0740373,2336.35
212,"Chicago, IL, USA",41.8781136,-87.6297982,"Boston, MA, USA",42.3600825,-71.0588801,1365.64
213,"Chicago, IL, USA",41.8781136,-87.6297982,"Riverside, CA, USA",33.9806005,-117.3754942,2736.52
214,"Chicago, IL, USA",41.8781136,-87.6297982,"San Francisco, CA, USA",37.7749295,-122.4194155,2984.91
215,"Chicago, IL, USA",41.8781136,-87.6297982,"Detroit, MI, USA",42.331427,-83.0457538,381.47
216,"Chicago, IL, USA",41.8781136,-87.6297982,"Minneapolis, MN, USA",44.977753,-93.2650108,570.63
217,"Chicago, IL, USA",41.8781136,-87.6297982,"San Diego, CA, USA",32.715738,-117.1610838,2786.66
218,"Chicago, IL, USA",41.8781136,-87.6297982,"Tampa, FL, USA",27.950575,-82.4571776,1618.05
219,"Chicago, IL, USA",41.8781136,-87.6297982,"Denver, CO, USA",39.7392358,-104.990251,1477.7
220,"Chicago, IL, USA",41.8781136,-87.6297982,"Baltimore, MD, USA",39.2903848,-76.6121893,973.06
221,"Chicago, IL, USA",41.8781136,-87.6297982,"St. Louis, MO, USA",38.6270025,-90.1994042,422.13
222,"Chicago, IL, USA",41.8781136,-87.6297982,"Charlotte, NC, USA",35.2270869,-80.8431267,945.48
223,"Chicago, IL, USA",41.8781136,-87.6297982,"Orlando, FL, USA",28.5383832,-81.3789269,1587.13
224,"Chicago, IL, USA",41.8781136,-87.6297982,"San Antonio, TX, USA",29.4251905,-98.4945922,1694.24
225,"Chicago, IL, USA",41.8781136,-87.6297982,"Sacramento, CA, USA",38.5815719,-121.4943996,2879.25
226,"Chicago, IL, USA",41.8781136,-87.6297982,"Pittsburgh, PA, USA",40.44062479999999,-79.9958864,658.52
227,"Chicago, IL, USA",41.8781136,-87.6297982,"Austin, TX, USA",30.267153,-97.7430608,1576.38
228,"Chicago, IL, USA",41.8781136,-87.6297982,"Las Vegas, NV, USA",36.171563,-115.1391009,2447.94
229,"Chicago, IL, USA",41.8781136,-87.6297982,"Cincinnati, OH, USA",39.1031182,-84.5120196,405.8
230,"Chicago, IL, USA",41.8781136,-87.6297982,"Kansas City, MO, USA",39.0997265,-94.5785667,663.6
231,"Chicago, IL, USA",41.8781136,-87.6297982,"Columbus, OH, USA",39.9611755,-82.99879419999999,443.57
232,"Chicago, IL, USA",41.8781136,-87.6297982,"Indianapolis, IN, USA",39.768403,-86.158068,265.26
233,"Chicago, IL, USA",41.8781136,-87.6297982,"Cleveland, OH, USA",41.49932,-81.6943605,494.56
234,"Chicago, IL, USA",41.8781136,-87.6297982,"Nashville, TN, USA",36.1626638,-86.7816016,639.73
235,"Chicago, IL, USA",41.8781136,-87.6297982,"San Jose, CA, USA",37.33874,-121.8852525,2957.47
